datetime,hour,day,month,weekday,aqi_us,aqi_cn,main_pollutant,temp,humidity,pressure,wind_speed,wind_direction,openweather_aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,computed_aqi,main_pollutant_calc,pm2_5_nowcast,pm10_nowcast,aqi_change_rate,computed_aqi_t+24,computed_aqi_t+48,computed_aqi_t+72
2025-07-15 13:17:00,13,15,7,1,66,24,p2,29,77,998,6.28,239,4,77.72,0.01,0.07,42.57,0.41,23.23,105.35,0,79,PM10,24.388704091272675,111.11259281412481,2.95,82,80,70
2025-07-15 14:17:00,14,15,7,1,66,25,p2,28,78,999,6.14,242,4,76.73,0.0,0.09,42.36,0.43,23.15,105.42,0,78,PM10,24.037929070995393,109.49862641653071,-0.012658227848101222,81,78,69
2025-07-15 16:17:00,16,15,7,1,64,23,p2,28,79,1000,7.09,241,4,76.89,0.0,0.09,43.13,0.45,23.34,106.05,0,78,PM10,23.874308576075144,108.68394195207705,0.0,80,77,69
2025-07-15 17:17:00,17,15,7,1,75,31,p2,28,78,1001,6.75,246,4,77.95,0.0,0.09,43.81,0.45,23.72,107.12,0,77,PM10,23.842985332527338,108.36347737072717,-0.012820512820512775,80,76,68
2025-07-15 18:17:00,18,15,7,1,75,32,p2,28,79,1001,6.67,247,4,78.89,0.0,0.09,44.1,0.46,24.3,108.86,0,77,PM10,23.925559853675093,108.45419226436158,0.0,80,75,68
2025-07-15 19:17:00,19,15,7,1,74,31,p2,28,79,1001,6.19,250,4,79.22,0.0,0.09,43.92,0.47,24.97,110.81,0,78,PM10,24.09693554723996,108.8457044236334,0.01298701298701288,80,74,68
2025-07-15 20:17:00,20,15,7,1,65,24,p2,28,79,1001,5.63,251,4,79.27,0.0,0.09,43.65,0.47,25.81,113.47,0,78,PM10,24.382762354674565,109.55542707431319,0.0,81,73,68
2025-07-15 21:17:00,21,15,7,1,68,26,p2,28,77,1000,5.59,257,4,79.27,0.0,0.1,43.4,0.47,26.68,116.94,0,79,PM10,24.814741804817917,110.70067425193349,0.012820512820512775,81,73,68
2025-07-15 22:17:00,22,15,7,1,66,25,p2,28,76,1000,6.31,260,4,79.64,0.0,0.09,43.42,0.46,27.63,120.91,0,79,PM2.5,25.413902327868488,112.53610174209915,0.0,82,73,68
2025-07-15 23:17:00,23,15,7,1,64,23,p2,28,76,1000,6.83,267,4,79.76,0.0,0.09,43.37,0.45,28.47,124.65,0,81,PM10,26.1238777587816,114.97493735221335,0.025316455696202445,83,73,68
2025-07-16 01:17:00,1,16,7,2,71,29,p2,28,76,1000,5.72,263,4,78.25,0.0,0.1,42.45,0.45,29.95,130.68,0,83,PM2.5,27.22828072085509,118.90294863948678,0.024691358024691468,85,73,68
2025-07-16 02:17:00,2,16,7,2,67,26,p2,28,77,1001,5.68,262,4,77.34,0.0,0.1,41.99,0.44,30.5,132.9,0,85,PM2.5,28.146142404376686,122.36791097940176,0.024096385542168752,86,73,67
2025-07-16 03:17:00,3,16,7,2,78,34,p2,28,76,1001,5.39,263,4,76.72,0.01,0.1,41.8,0.44,30.85,134.43,0,86,PM2.5,28.9357079325539,125.55014565021754,0.0117647058823529,88,73,67
2025-07-16 04:17:00,4,16,7,2,64,23,p2,28,76,1001,5.11,255,4,76.33,0.01,0.08,41.89,0.42,30.95,135.05,0,88,PM2.5,29.476059081049648,127.93229858272282,0.023255813953488413,89,73,67
2025-07-16 05:17:00,5,16,7,2,71,28,p2,29,75,1001,5.33,242,4,76.3,0.01,0.07,42.08,0.41,30.88,134.83,0,88,PM2.5,29.810538383927717,129.55206806507664,0.0,89,73,68
2025-07-16 06:17:00,6,16,7,2,64,23,p2,29,74,1001,5.73,237,4,76.38,0.01,0.06,42.09,0.4,30.56,133.21,0,89,PM2.5,29.96094267089484,130.3742587528306,0.011363636363636465,89,73,68
2025-07-16 07:17:00,7,16,7,2,66,24,p2,29,74,1001,6.06,234,4,75.88,0.01,0.05,41.38,0.41,29.92,129.72,0,89,PM2.5,29.94780817198046,130.35958206307413,0.0,88,73,69
2025-07-16 08:17:00,8,16,7,2,69,27,p2,29,72,1001,6.48,228,4,76.19,0.01,0.05,40.92,0.4,29.35,128.58,0,88,PM2.5,29.852249930868684,130.2038948401393,-0.011235955056179803,88,73,71
